Política,C1_gap_sal,C2_gap_aces,C3_veloc,C4_custo_ef,C5_viab,D_pos,D_neg,CC,Rank
Cotas ocupacionais CBO 1–4,0.04143,0.09666,0.5,0.233,0.7,0.0566,0.2855,0.8347,1
Equidade educacional (cotas/bolsas),0.04438,0.02969,0.125,0.125,0.8,0.1638,0.2339,0.5881,2
Mentoria e redes profissionais,0.01532,0.02959,0.5,0.3,0.9,0.2122,0.1392,0.3962,3
Transparência salarial obrigatória,0.00483,0.01559,1.0,0.312,0.85,0.2714,0.1411,0.342,4
Enforcement anti-discriminação,0.01358,0.02494,0.333,0.167,0.6,0.2357,0.0873,0.2703,5
Desegregação residencial,0.00945,0.00438,0.067,0.025,0.4,0.2986,0.0262,0.0806,6
