nivel,label,beta_interacao,se_interacao,pval,desconto_pct,sig,beta_negro_base,beta_total_negro
educ_medio_completo,Médio Completo,0.04065193188827351,0.03118496986064502,0.19237869544577113,4.1489533154008384,ns,-0.24665511387270728,-0.20600318198443376
educ_superior_completo,Superior Completo,0.11652537436847248,0.028869275447347995,5.4298226575210614e-05,12.358602039118383,***,-0.24665511387270728,-0.1301297395042348
educ_pos_graduacao,Pós-Graduação,0.11505323582290503,0.03755506600951042,0.0021870014000344236,12.193316301733525,**,-0.24665511387270728,-0.13160187804980225
