Modelo,b_negro,Gap%,Mediacao_UPA%,Mediacao_UF%,Mediacao_occ%,Mediacao_total%
M1_Individual,-0.217,-19.5,,,,
M2_Localidade,-0.0999,-9.51,53.95,,,53.95
M3_Completo,-0.0999,-9.51,53.95,0.0,,53.95
M4_Ocupacao,-0.0554,-5.39,53.95,0.0,20.5,74.45
