Componente,Valor_log,Pct_do_gap
Gap Total,0.4228544235229492,100.0
Efeito Dotacoes,0.3550008359811577,83.95344029359339
Efeito Retornos,0.06785352285930085,16.046544409773283
Interacao,-0.022093990720622445,-5.224963838984968
