area_tipo,gap_log,gap_pct,ocp_b,ocp_n,diff_ocp
Capital,0.48724842,62.783096,90.91982446325459,87.28331021465226,3.6365142486023245
"RM (exceto
capital)",0.32841778,38.876915,89.36392119741551,85.3292095966448,4.034711600770706
Interior,0.44972706,56.78842,93.50603292857909,89.87941826784474,3.6266146607343472
