tau,q_label,gap_obs,gap_rif,end,ret,inter,end_pct,ret_pct,inter_pct,n_b,n_n
0.1,q10,0.5585465431213379,0.527651918072686,0.3425781399763327,0.1850737780963536,-0.1742627688371888,61.33385734730283,33.13488918257408,-31.199328146111576,3259516,4434682
0.25,q25,0.309852123260498,0.2546499356241325,0.1752920607917804,0.0793578748323514,-0.0658028340312915,56.572812523349846,25.61153171948217,-21.23685109492373,3259516,4434682
0.5,q50,0.3777103424072265,0.2979710829698057,0.2167471065334321,0.0812239764363718,-0.0235488161428106,57.384477521070174,21.504302984851968,-6.234623069288808,3259516,4434682
0.75,q75,0.4698162078857422,0.4818047902264482,0.3635526618226571,0.1182521284037907,0.0599662356872769,77.38189013501892,25.169869923378467,12.763764783070354,3259516,4434682
0.9,q90,0.4833230972290039,0.4203125177053888,0.366155695875917,0.0541568218294701,0.1414100794821556,75.75795528398437,11.20509699204589,29.257877451520592,3259516,4434682
