"modelo","OR_negro","CI_low","CI_high","AME_negro","ICC_UPA","LL","AIC"
"M1_GLMM",0.692752246956756,0.67079420471777,0.715429072416553,-0.0139168485798205,0.18784807163316,-74074.9926553015,148169.985310603
"M2_GLMM",0.78887930740072,0.763458024219896,0.815147057077485,-0.00881180415252042,0.165125154704217,-73249.0318728515,146522.063745703
