"desfecho","UF","sigla","u0","u1_sexo","gap_log","OR_uf"
"ocp_qualif","11","RO",-0.249805838401895,0.0495358598796949,0.74841956045647,2.11365686859031
"ocp_qualif","12","AC",-0.0107066104881957,0.00693176586287309,0.705815466439648,2.02549773707021
"ocp_qualif","13","AM",0.315111730494167,-0.150508182120278,0.548375518456497,1.73043966606738
"ocp_qualif","14","RR",-0.277327352770909,0.116761032947556,0.815644733524331,2.26063270829251
"ocp_qualif","15","PA",0.110186983923496,0.0262061011480868,0.725089801724862,2.06491652470625
"ocp_qualif","16","AP",0.0202967858785396,-0.0562318084883858,0.642651892088389,1.90151681637412
"ocp_qualif","17","TO",-0.0897047446662654,0.0723487776076273,0.771232478184402,2.16242975959536
"ocp_qualif","21","MA",0.236593310517051,0.176663188473582,0.875546889050358,2.40018757140091
"ocp_qualif","22","PI",0.370559328808388,0.084420968494751,0.783304669071526,2.18869323430895
"ocp_qualif","23","CE",0.358284244243909,0.0102404560272518,0.709124156604027,2.03221058074672
"ocp_qualif","24","RN",0.208586847249971,-0.0305981425378315,0.668285558038944,1.95088976458682
"ocp_qualif","25","PB",0.226528345715832,0.0377057979164555,0.736589498493231,2.08879949887699
"ocp_qualif","26","PE",0.241374020182153,0.118316505558261,0.817200206135036,2.26415179676645
"ocp_qualif","27","AL",0.133688102694766,0.0801840637433679,0.779067764320143,2.179439566842
"ocp_qualif","28","SE",0.20189040785765,0.151423131519784,0.850306832096559,2.34036484082016
"ocp_qualif","29","BA",0.217766066401326,0.106323765908184,0.805207466484959,2.23716058652018
"ocp_qualif","31","MG",-0.0537408802080994,-0.0320585611463173,0.666825139430458,1.94804272830991
"ocp_qualif","32","ES",-0.0256153459639904,-0.0669654482161898,0.631918252360585,1.88121576691464
"ocp_qualif","33","RJ",0.0319859148421448,0.0283868594234271,0.727270560000202,2.06942452214519
"ocp_qualif","35","SP",-0.0901337613155867,-0.119799590695198,0.579084109881577,1.78440336468495
"ocp_qualif","41","PR",-0.293642478791662,-0.128508223259687,0.570375477317088,1.76893112026569
"ocp_qualif","42","SC",-0.34180433339725,-0.245088505141509,0.453795195435267,1.57427554563845
"ocp_qualif","43","RS",-0.255781470450952,-0.111381733524135,0.58750196705264,1.79948761681159
"ocp_qualif","50","MS",-0.272239641247677,-0.0733522988753928,0.625531401701382,1.86923901034424
"ocp_qualif","51","MT",-0.34015697241756,-0.0336588233620217,0.665224877214753,1.94492784211928
"ocp_qualif","52","GO",-0.180019937588918,-0.0823342068872094,0.616549493689566,1.85252485238316
"ocp_qualif","53","DF",-0.192172718617772,0.0650372502400297,0.763920950816805,2.14667675466841
"y_top20","11","RO",0.194423456765735,-0.247027988886934,-0.814235706751448,0.442977762926331
"y_top20","12","AC",0.0170476352958162,0.0762176858719124,-0.490990031992601,0.612020174592573
"y_top20","13","AM",-0.0197712258824145,0.107585498622917,-0.459622219241597,0.631522177374831
"y_top20","14","RR",-0.128375257196117,0.277749013741926,-0.289458704122587,0.748668709203767
"y_top20","15","PA",0.148228482477345,0.0610423821999601,-0.506165335664553,0.602802698479569
"y_top20","16","AP",-0.159225059161192,0.357456854982215,-0.209750862882299,0.810786217751171
"y_top20","17","TO",0.0764575985194822,-0.0595510010390204,-0.626758718903534,0.534320881447712
"y_top20","21","MA",0.0719941838297821,0.110670457472885,-0.456537260391628,0.633473405486609
"y_top20","22","PI",0.0581504407984402,0.110489407615861,-0.456718310248653,0.633358725598819
"y_top20","23","CE",-0.00937293208727047,0.143220696809227,-0.423987021055286,0.654432375695361
"y_top20","24","RN",-0.169674718659083,0.192629502754294,-0.374578215110219,0.687579228167509
"y_top20","25","PB",-0.209577144161681,0.111501134521908,-0.455706583342605,0.633999835922283
"y_top20","26","PE",-0.190306167817913,0.109509809491897,-0.457697908372617,0.632738592369691
"y_top20","27","AL",-0.272183076754819,0.135418566150396,-0.431789151714117,0.649346275801365
"y_top20","28","SE",-0.0592840140993652,0.156973240942036,-0.410234476922478,0.663494657710195
"y_top20","29","BA",0.0143955837896991,0.0560671105747536,-0.51114060728976,0.599811039647
"y_top20","31","MG",0.0419802548981582,-0.221528646534973,-0.788736364399487,0.45441865221945
