label,n_obs,n_ufs,beta_negro,se_negro,pval,gap_pct,icc_uf,aic,periodo
2016,881147,27,-0.115549793480889,0.001878869276489568,0.0,-10.912378869495743,0.0730646662806867,,2016
2017,863468,27,-0.11028628363093716,0.0019142211771681764,0.0,-10.442229064541564,0.07119359755075981,,2017
2018,850061,27,-0.1054296347543846,0.0019440557088761278,0.0,-10.006220503709972,0.0707646577292955,,2018
2019,847609,27,-0.10782214118253276,0.001956025484118468,0.0,-10.221273838822874,0.06935107835404941,,2019
2020,557653,27,-0.09834154888589862,0.0024742324038209656,0.0,-9.366070829222284,0.06653314843304069,,2020
2021,587236,27,-0.10240105179373206,0.002371808426786575,0.0,-9.733253733953662,0.0666892317159231,,2021
2022,759338,27,-0.1060060624776319,0.002050650482248281,0.0,-10.058080464935792,0.07108224341581308,,2022
2023,758730,27,-0.10299982696308507,0.002042725524019291,0.0,-9.78728704172016,0.0711258982137725,,2023
2024,785080,27,-0.1068087847277624,0.0020265415555542543,0.0,-10.13024987509511,0.06688659984191445,,2024
2025,799104,27,-0.10512972359089526,0.0020000472926950123,0.0,-9.979226316867784,0.05981363544237001,,2025
