Modelo,k,sample_frac,R2_mean,R2_sd,MAE_mean,MAE_sd,RMSE_mean,RMSE_sd
Random Forest,5,0.2,0.5746,0.001,0.4522,0.0001,0.6022,0.0007
XGBoost,5,0.2,0.6163,0.001,0.429,0.0004,0.5719,0.0005
