variavel,coeficiente,se,z,p
Intercept,4.738083664503297,0.029127485580914294,162.66710188015384,0.0
C(Ano)[T.2017],0.046650143081930905,0.0010563330330820224,44.16234428059262,0.0
C(Ano)[T.2018],0.07362843332718777,0.0010609188842968563,69.40062470090386,0.0
C(Ano)[T.2019],0.09802134807478911,0.0010622118724133384,92.2804109241269,0.0
C(Ano)[T.2020],0.1107374681336417,0.001195753729880862,92.60892553910323,0.0
C(Ano)[T.2021],0.1330083616931674,0.0011789519503434373,112.81915404136792,0.0
C(Ano)[T.2022],0.2515093291705123,0.001099323736888734,228.78549851231705,0.0
C(Ano)[T.2023],0.3323272112422447,0.0011033311236382359,301.2035137252317,0.0
C(Ano)[T.2024],0.4090295993858912,0.0010981337784787561,372.4770218365558,0.0
C(Ano)[T.2025],0.48890813036263175,0.0011053334186504615,442.31733349703296,0.0
negro,-0.12181336752108232,0.009766952241422865,-12.47199377145069,0.0
sexo_fem,-0.18287410876635157,0.0005309887019189946,-344.4030129180603,0.0
idade_c,0.009818015983183237,2.1003956730843023e-05,467.43649822731174,0.0
idade_sq,-0.0005728309459285256,1.2892837591872785e-06,-444.3016844403742,0.0
educ_fund_completo,-0.758280470558092,0.003168002632277004,-239.35601026097552,0.0
educ_medio_completo,-0.5620044480359557,0.0014000638332247427,-401.41344608659784,0.0
educ_superior_completo,-0.449960329775452,0.0006362088106167597,-707.252591078151,0.0
educ_pos_graduacao,-0.5138828095679773,0.0028886238280661997,-177.89883354662973,0.0
log_horas,0.7049227964983443,0.0006441820346514339,1094.2913005634769,0.0
urbano,0.31119527275376685,0.0006820237684350913,456.28215196635557,0.0
pct_negro_upa_z,-0.27507599438750124,0.0005377422520384576,-511.5387406229494,0.0
tx_desemprego_upa_z,-0.0404032561069896,0.0003558818368566014,-113.52997518462749,0.0
media_educ_upa_z,-0.0032379277485693595,0.000281151102946324,-11.516681651387756,0.0
pct_negro_uf_z,0.06267821834783004,0.0381858080546385,1.6414008643773195,0.10071423058239937
tx_desemprego_uf_z,-0.05415121646599114,0.030133539552971714,-1.79704134560093,0.07232905620081231
media_educ_uf_z,0.07914056335187392,0.023895769777438992,3.3119068391173516,0.0009266239753646932
Group Var,0.03937194162603141,0.012952081570054608,3.0398157557206775,0.002367229150158634
Group x negro Cov,-0.005354690032810026,0.003325935187664968,-1.6099802704121187,0.10740216352174037
negro Var,0.005264696461059935,0.0012622585328865646,4.170854324922245,3.0345981426593838e-05
