grupo,gap,gap_pct,end,end_pct,ret,ret_pct,inter,inter_pct,n_ref,n_n,penalidade_extra_pct
Mulher Branca,0.38233572315057174,46.570407333172945,-0.03405079195516544,-8.905992794650667,0.4163865151057391,108.90599279465117,-2.7660819021943896e-05,-0.007234693842890137,579589,263142,0.0
Homem Negro,0.3388424688048701,40.332226076644396,0.24023997779951606,70.9001969696613,0.09860249100537787,29.09980303034573,-0.082570852463228,-24.36850751160659,579589,1071924,0.0
Mulher Negra,0.6750114143787895,96.40553943141354,0.19992172405525466,29.617532355247928,0.47508969032351744,70.3824676447495,-0.026016248466100084,-3.85419385686133,579589,443196,9.502906021596203
