Modelo,sigma2_f,sigma2_u,sigma2_e,R2m,R2c,LRT_vs_prev,p_LRT
M3-equiv. (sem slope),0.158657,0.0,0.370467,0.2998,0.2998,—,—
M4 (random slope educ),0.286185,0.058415,0.369187,0.4009,0.4828,-inf,1.0000e+00
