"effect","term","estimate","std.error","statistic","p.value","conf.low","conf.high","modelo"
"fixed","(Intercept)",0.464715597402145,0.00272660800304578,-130.611130820975,0,0.459402153766208,0.470090496307808,"M1_GLMM"
"fixed","negro",0.673967931944701,0.00156824330839022,-169.571505578137,0,0.67090122986253,0.677048651979504,"M1_GLMM"
"fixed","sexo_fem",1.94510926437416,0.00404602409597301,319.848936037414,0,1.93719534604659,1.95305551299999,"M1_GLMM"
"fixed","educ_medio_completo",0.136759494804153,0.00146154067925941,-186.164719292759,0,0.133924719978088,0.139654273103184,"M1_GLMM"
"fixed","educ_superior_completo",0.137679519959027,0.000573452901939094,-476.054119556978,0,0.136560148137935,0.138808067174925,"M1_GLMM"
"fixed","educ_pos_graduacao",0.125931234132786,0.00282264934332152,-92.4422106944804,0,0.120518702627806,0.131586844070023,"M1_GLMM"
"fixed","idade_c",0.996352890110261,8.86682109722791e-05,-41.0570039080029,0,0.996179118765451,0.996526691767371,"M1_GLMM"
"fixed","I(idade_c^2)",0.999641104765076,5.50361842305495e-06,-65.1990739075055,0,0.999630317929381,0.999651891717169,"M1_GLMM"
"fixed","horas_c",0.986905647460295,9.9578838130166e-05,-130.632623185139,0,0.986710495821214,0.987100837696473,"M1_GLMM"
"fixed","emprego_formal",1.21812692139161,0.00318313447246213,75.5085738491991,0,1.21190404179959,1.22438175419864,"M1_GLMM"
"fixed","setor_publico",4.02785534773485,0.0120071453843544,467.367145958595,0,4.00439039139119,4.05145780420273,"M1_GLMM"
"fixed","conta_propria",0.319195066224179,0.00107492349179108,-339.09922410058,0,0.317095192508352,0.32130884576301,"M1_GLMM"
"fixed","trab_domestico",0.000180335221039414,2.68923946158874e-05,-57.8087082947066,0,0.000134631156304358,0.000241554725072814,"M1_GLMM"
"fixed","(Intercept)",0.428873512609734,0.00197461706303201,-183.874345021747,0,0.425020744225912,0.432761205934095,"M2_GLMM"
"fixed","negro",0.690465822825455,0.0016005099061382,-159.787083529749,0,0.687335996189785,0.693609901318765,"M2_GLMM"
"fixed","sexo_fem",1.939091405846,0.0040292723334591,318.693815092274,0,1.93121023667939,1.94700473765667,"M2_GLMM"
"fixed","educ_medio_completo",0.137691217875346,0.00147043153222569,-185.663940743519,0,0.134839176958953,0.140603583525041,"M2_GLMM"
"fixed","educ_superior_completo",0.139381893092686,0.0005797818042625,-473.725236536213,0,0.13825016129256,0.14052288938014,"M2_GLMM"
"fixed","educ_pos_graduacao",0.127894255935989,0.0028656241451761,-91.7849334938867,0,0.122399275872331,0.133635927049776,"M2_GLMM"
"fixed","idade_c",0.996120414423124,8.86262151931122e-05,-43.6896715642578,0,0.995946725377709,0.996294133759199,"M2_GLMM"
"fixed","I(idade_c^2)",0.999634644456905,5.50148965601281e-06,-66.3981604019059,0,0.999623861793472,0.999645427236647,"M2_GLMM"
"fixed","horas_c",0.986430193469897,9.95769788824113e-05,-135.345714956703,0,0.986235045483455,0.986625380070599,"M2_GLMM"
"fixed","emprego_formal",1.20278795512372,0.00313564911055501,70.8259616691632,0,1.19665787026136,1.20894944239553,"M2_GLMM"
"fixed","setor_publico",4.0741837654579,0.0121318674377949,471.72337361059,0,4.05047499486667,4.09803131132947,"M2_GLMM"
"fixed","conta_propria",0.318137661462888,0.00107137163921321,-340.081680040487,0,0.31604472638476,0.32024445653258,"M2_GLMM"
"fixed","trab_domestico",0.00018049437580495,2.69162945593702e-05,-57.8024360551357,0,0.000134749731965574,0.000241768345079467,"M2_GLMM"
"fixed","renda_media_upa_c",1.97592629918714,0.00713026046253002,188.72796024061,0,1.96200054957216,1.98995089000907,"M2_GLMM"
"fixed","edu_media_upa_c",0.912130060585784,0.00277176879223871,-30.2662525200251,3.18887929772152e-201,0.906713639456539,0.917578837705468,"M2_GLMM"
