Cenário,β_negro,gap_pct,redução_β,redução_%_gap,ci_low_boot,ci_high_boot
Baseline,-0.059328247490767747,-5.760262119332471,0.0,0.0,,
Lei Igualdade Salarial,0.07209967680424116,7.476246761294836,-0.1314279242950089,-221.57449102363697,-0.1333624909775758,-0.1298636451829043
Expansão Cotas,-0.057103413469291826,-5.550360933252874,-0.00222483402147592,-3.9319305293514164,-0.004777687364263119,-0.0001104355759791736
