"rotulo","desfecho","UF","sigla","u0","u1_negro","gap_log","OR_uf"
"ocp_qualif","ocp_qualif","11","RO",-0.217815621551545,0.00364381112895795,-0.34608214418031,0.707454371460153
"ocp_qualif","ocp_qualif","12","AC",-0.0112719514724578,0.0140028370289147,-0.335723118280354,0.714820999285773
"ocp_qualif","ocp_qualif","13","AM",0.157207831785892,0.120686553031897,-0.229039402277371,0.795297196366997
"ocp_qualif","ocp_qualif","14","RR",-0.251339732181675,0.0496883672838501,-0.300037588025418,0.740790375310938
"ocp_qualif","ocp_qualif","15","PA",0.0599522028515631,0.090114513182052,-0.259611442127216,0.771351242180705
"ocp_qualif","ocp_qualif","16","AP",-0.068925954199314,0.0895635634265392,-0.260162391882729,0.770926383451064
"ocp_qualif","ocp_qualif","17","TO",0.00498016034204386,-0.0710454274129845,-0.420771382722253,0.656540180681999
"ocp_qualif","ocp_qualif","21","MA",0.231542573839667,0.127037275921962,-0.222688679387307,0.800363980317461
"ocp_qualif","ocp_qualif","22","PI",0.381625967685562,0.0492948142846407,-0.300431141024628,0.740498892397699
"ocp_qualif","ocp_qualif","23","CE",0.354470445524116,0.0317698544334943,-0.317956100875774,0.727634730240895
"ocp_qualif","ocp_qualif","24","RN",0.138341752444524,0.126699323808108,-0.223026631501161,0.80009354131875
"ocp_qualif","ocp_qualif","25","PB",0.198361247063212,0.0978320607476626,-0.251893894561606,0.777327212338025
"ocp_qualif","ocp_qualif","26","PE",0.25596751153375,0.0879791528585739,-0.261746802450694,0.769705886681315
"ocp_qualif","ocp_qualif","27","AL",0.13003937670855,0.075845456612132,-0.273880498697136,0.760422941363685
"ocp_qualif","ocp_qualif","28","SE",0.206203288066502,0.102866496823653,-0.246859458485615,0.781250483942268
"ocp_qualif","ocp_qualif","29","BA",0.248552212437499,0.0368257878779704,-0.312900167431298,0.731322918770155
"ocp_qualif","ocp_qualif","31","MG",-0.0183785755564853,-0.0575192010326574,-0.407245156341926,0.665481023408319
"ocp_qualif","ocp_qualif","32","ES",-0.00973858617679271,-0.0506696992918295,-0.400395654601098,0.670054883285108
"ocp_qualif","ocp_qualif","33","RJ",0.105301029875232,-0.0791748187877427,-0.428900774097011,0.65122454431869
"ocp_qualif","ocp_qualif","35","SP",-0.0707251456480501,-0.128602975597231,-0.478328930906499,0.619818286056833
"ocp_qualif","ocp_qualif","41","PR",-0.276808977704172,-0.158227481570801,-0.50795343688007,0.601725789339906
"ocp_qualif","ocp_qualif","42","SC",-0.369631682047751,-0.312430182329468,-0.662156137638736,0.515738132415485
"ocp_qualif","ocp_qualif","43","RS",-0.245116461729868,-0.165300530327702,-0.515026485636971,0.597484769643967
"ocp_qualif","ocp_qualif","50","MS",-0.258115305040808,-0.0545592220552183,-0.404285177364487,0.667453751423886
"ocp_qualif","ocp_qualif","51","MT",-0.297882824804118,-0.0685231390693575,-0.418249094378626,0.658198254517964
"ocp_qualif","ocp_qualif","52","GO",-0.195340068981417,-0.0101900140360308,-0.359915969345299,0.697734954732748
"ocp_qualif","ocp_qualif","53","DF",-0.181454710897005,0.0523928237800699,-0.297333131529198,0.742796522199517
"y_top20","y_top20","11","RO",0.165088980583041,-0.0912745136675616,-0.45649875453662,0.633497798391345
"y_top20","y_top20","12","AC",0.0745858269900971,-0.0361330616101484,-0.401357302479206,0.669410836151293
"y_top20","y_top20","13","AM",0.035577443684733,-0.0225262564245553,-0.387750497293613,0.678581630097678
"y_top20","y_top20","14","RR",-0.00522471357866226,-0.0183863883753445,-0.383610629244403,0.681396691477738
"y_top20","y_top20","15","PA",0.177750975411876,-0.0144107272898167,-0.379634968158875,0.684111085968846
"y_top20","y_top20","16","AP",-0.0356115161143063,0.0335370058266607,-0.331687235042397,0.717711762843208
"y_top20","y_top20","17","TO",0.135143964881515,-0.113928092156551,-0.479152333025609,0.619308136424597
"y_top20","y_top20","21","MA",0.127374609414337,-0.0177563837268995,-0.382980624595958,0.681826109814375
"y_top20","y_top20","22","PI",0.153358386877635,-0.0648720803988578,-0.430096321267916,0.650446439880067
"y_top20","y_top20","23","CE",0.0574076531467663,-0.0165219725674157,-0.381746213436474,0.682668283260367
"y_top20","y_top20","24","RN",-0.131815022971099,0.0678508486496396,-0.297373392219418,0.74276661730084
"y_top20","y_top20","25","PB",-0.192831716860942,0.0459742258934299,-0.319250014975628,0.726693842249283
"y_top20","y_top20","26","PE",-0.134685186489685,-0.0250058187864481,-0.390230059655506,0.676901128942931
"y_top20","y_top20","27","AL",-0.241203098092672,0.0307558727096847,-0.334468368159373,0.715718483962859
"y_top20","y_top20","28","SE",-0.0425371434342936,0.0611985070909412,-0.304025733778117,0.737841878747087
"y_top20","y_top20","29","BA",-0.0158424041010642,0.0657756986723742,-0.299448542196684,0.741226863334586
"y_top20","y_top20","31","MG",-0.0649746680704544,0.0419312963569138,-0.323292944512144,0.723761801261756
"y_top20","y_top20","32","ES",-0.0505475596468976,0.000361650755079969,-0.364862590113978,0.694292046914682
"y_top20","y_top20","33","RJ",-0.159586674278009,-0.0115212355841159,-0.376745476453174,0.686090677907447
"y_top20","y_top20","35","SP",-0.0591775477076934,0.0343447634824862,-0.330879477386572,0.718291734220947
"y_top20","y_top20","41","PR",-0.00926878622910409,-0.0139396883717876,-0.379163929240846,0.684433404820994
"y_top20","y_top20","42","SC",-0.0135704459650875,-0.0119833882098835,-0.377207629078942,0.685773672557207
"y_top20","y_top20","43","RS",-0.0580616686452925,-0.0706893886285235,-0.435913629497582,0.646673577045211
"y_top20","y_top20","50","MS",0.0409240387674317,0.039822824113718,-0.32540141675534,0.722237377260712
"y_top20","y_top20","51","MT",0.224264690478607,-0.0512819789965645,-0.416506219865623,0.659346411736605
"y_top20","y_top20","52","GO",0.0170923877508733,0.0314133367867687,-0.333810904082289,0.716189197877159
"y_top20","y_top20","53","DF",0.00636919485769266,0.127264944337156,-0.237959296531902,0.788234774329807
"y_top10","y_top10","11","RO",0.085730687386716,-0.0878295095809411,-0.50283601321118,0.604812967598746
"y_top10","y_top10","12","AC",0.153579142175904,0.00388286945489682,-0.411123634175342,0.662904968824981
"y_top10","y_top10","13","AM",-0.00729085220011756,0.0745320608896786,-0.34047444274056,0.711432708595657
