regiao,n_obs,n_ufs,beta_negro,se_negro,pval,gap_pct,icc_uf,var_uf,var_res,aic
Norte,981871,7,-0.12717624332500124,0.001919791376487093,0.0,-11.94215371559989,0.010403790864630658,0.0057493593361040525,0.5468722197509875,
Nordeste,2077012,9,-0.08993712217888418,0.0012738511821264154,0.0,-8.601134692048584,0.012775107124641711,0.007397630610505784,0.5716684029131275,
Sudeste,2235954,4,-0.09740088485610948,0.0009755885503016206,0.0,-9.280774640934297,0.0020362498118697845,0.0008926706020553184,0.4374968613953102,
Sul,1508151,3,-0.11670908303423382,0.001318639783242688,0.0,-11.01559737637624,0.004374533650400566,0.0017953987944842854,0.40862521697101223,
Centro-Oeste,886438,4,-0.10784751390991117,0.0015363789857265823,0.0,-10.223551741067727,0.058129259452453085,0.02703297921567282,0.43801645493004315,
