k,inertia,silhouette,davies_bouldin
2,70297832.742653,0.1736484784020739,2.0139767356675993
3,65361442.36203716,0.1401340749867438,2.2813887360292404
4,62971041.27463938,0.11903890285639841,2.5399294936387578
5,52525777.33548172,0.1731167137528921,1.8062960869164548
6,50439861.96592317,0.14579354012526838,1.9361874847984015
7,43649898.17905069,0.15377729709574098,1.6083175151529459
8,41406911.70364368,0.15522375773163488,1.7152530121361351
