"desfecho","OR_sexo","b_sexo","tau2_intercepto","tau2_sexo","sd_sexo","cov_int_sexo","rho","LR","p_boundary","OR_base","N","n_UF"
"ocp_qualif",2.01150601071106,0.698883700576775,0.0512011800309376,0.0101753004337625,0.10087269419304,0.0100677974458552,0.441083552538175,2905.19426066335,0,1.93872998707187,7694198,27
"y_top20",0.567106751988167,-0.567207717864513,0.0180196875399895,0.032448968399906,0.180135971976465,-0.0170022311214277,-0.703123867386156,5035.12723112479,0,0.52564528997954,7694198,27
"y_top10",0.522044144472672,-0.650003126719855,0.0153309195782233,0.021421134728549,0.146359607571724,-0.00235833608947248,-0.130136870267596,1828.46794074588,0,0.508640011152713,7694198,27
