grupo,negro,mulher,superior,n_obs,log_renda_pred,log_renda_obs,renda_pred_exp
Homem Branco Com Superior,0,0,1,434348,7.0943514014256595,7.285963766893469,1205.1404575639813
Homem Negro Com Superior,1,0,1,858823,7.036068051738042,6.958276374528864,1136.9085411104118
Homem Branco Sem Superior,0,0,0,145241,7.016028612614293,7.192853339817046,1114.3522937228647
Homem Negro Sem Superior,1,0,0,213101,6.904068389398095,6.784798002796403,996.31989864831
Mulher Branca Com Superior,0,1,1,201656,6.671781152438533,6.916170832028482,789.8011085529881
Mulher Negra Com Superior,1,1,1,356507,6.63944092174329,6.623368325416821,764.6673645951386
Mulher Branca Sem Superior,0,1,0,61486,6.5394260549773735,6.762633735525644,691.8893576030459
Mulher Negra Sem Superior,1,1,0,86689,6.496836850384124,6.440603194921959,663.0410145800194
