label,n_obs,n_ufs,beta_negro,se_negro,pval_negro,gap_pct,beta_enem,se_enem,pval_enem,icc_uf,aic,bic,log_likelihood
M3_base,7689426,27,-0.10214118483282653,0.0005935052645252118,0.0,-9.709793340772155,,,,0.5,16289428.22518143,16289816.175168928,-8144686.112590715
M3_ENEM,6105242,27,-0.10191374418839479,0.0006671169387129164,0.0,-9.68925534248446,0.002769917570878191,0.00105927907369144,0.008925143149208432,0.5,12936171.026494026,12936538.892268244,-6468058.513247013
