race_gen,n_workers,mean_renda,betweenness_mean,betweenness_max,constraint_mean,constraint_min
Branco_Fem,1431788,6.90686,0.16021999999999997,0.7836,3.2590510000000004,2.094426
Branco_Masc,1843856,7.22612,0.0,0.0,3.3856741999999995,2.503386
Negro_Fem,1773404,6.57814,0.0,0.0,3.4136702,2.595429
Negro_Masc,2668513,6.889360000000001,0.0,0.0,3.5668230000000003,3.034004
