area,grupo,pct_branco,pct_negro,razao_nn_bb,renda_mediana
Capital,dirigente,7.547071383058402,3.145856321862656,0.41683139885551446,5000.0
Capital,profissional,25.638952338012217,11.47841710387602,0.447694467096386,4500.0
Capital,tecnico,12.376367364834737,9.162650083476564,0.7403343657615251,2500.0
Capital,administrativo,10.297264835605702,10.109155348447993,0.9817320919524894,1600.0
Capital,servicos,20.65166493397772,26.450379644024757,1.2807867902459789,1412.0
Capital,agro,0.6689794027377728,1.0777706219926901,1.611066973933659,1212.0
Capital,operario,7.999185201470114,12.853667841218142,1.606872139784419,1500.0
Capital,operador,5.506473052650144,7.408124505191134,1.3453483626194749,1700.0
Capital,elementar,7.765054831221192,16.444923927623563,2.1178116941947347,1100.0
Capital,ffaa,1.5489866564320023,1.8690546022864785,1.2066305377941302,5000.0
RM (exceto capital),dirigente,5.14873522126857,2.1424208955367434,0.41610624812997926,3500.0
RM (exceto capital),profissional,13.412760551312545,6.965873551481421,0.5193467463191054,3100.0
RM (exceto capital),tecnico,10.320367935630962,7.6022679364631545,0.7366276070658687,2200.0
RM (exceto capital),administrativo,9.929879505020214,8.176465590620477,0.8234204238316014,1518.0
RM (exceto capital),servicos,22.913742927629148,25.26902490594348,1.1027890548372328,1320.0
RM (exceto capital),agro,2.406945080485919,3.1157676727682513,1.2944905548651877,937.0
RM (exceto capital),operario,13.673742730661468,15.945927316387396,1.1661713716926143,1500.0
RM (exceto capital),operador,8.89752263897301,9.561464957432108,1.0746210316510905,1800.0
RM (exceto capital),elementar,12.285612988048985,20.082009916210744,1.6345956799832309,1100.0
RM (exceto capital),ffaa,1.0106904209691796,1.138777257156231,1.1267320175689657,4000.0
Interior,dirigente,4.797762426376165,2.005474793060132,0.4180021049051616,3000.0
Interior,profissional,11.327619589232404,6.44929083539648,0.5693421097515428,3000.0
Interior,tecnico,7.392683223380978,5.2270230860827525,0.7070535728558136,2000.0
Interior,administrativo,7.49329459367684,5.286426322097118,0.7054875870699158,1518.0
Interior,servicos,18.959212431438218,19.977954628085342,1.0537333605143768,1300.0
Interior,agro,13.285108984348321,13.496807653168204,1.0159350344110307,1000.0
Interior,operario,12.80278475996898,13.597300692332404,1.0620580559041866,1500.0
Interior,operador,9.251062910444254,8.84527265277385,0.9561358233536305,1680.0
Interior,elementar,14.125797636964919,24.584860254272012,1.7404227984929803,998.0
Interior,ffaa,0.5646734441689244,0.5295890827317024,0.9378678742563173,4208.0
