fold,n_train,n_test,ufs_train,ufs_test,beta_negro,rmse,mae
1,6100124,1589302,21,6,-0.09970104406191721,0.7724135874356951,0.5864445223888068
2,6116740,1572686,21,6,-0.09910145407180594,0.8030284014659653,0.6167322530132864
3,6184895,1504531,22,5,-0.1003793709257927,0.7941601479794566,0.6039250279515949
4,6174197,1515229,22,5,-0.102431437661529,0.8253544881240571,0.6262298278074102
5,6181748,1507678,22,5,-0.09792215679466258,0.8120428648770626,0.6218973956494819
