setor,b_negro,OR_equiv_pct,tau2_negro,sd_negro,rho_int_negro,sigma2,n_obs,n_uf
Privado,-0.1173,-11.1,0.002166,0.0465,-0.1857,0.446,6597011,27
Público,-0.0806,-7.7,0.001396,0.0374,-0.3242,0.4023,1092415,27
