Modelo,β_negro,SE (cluster-UF),p-valor,Gap (%),IMR (λ),IMR p-valor,Nota
OLS (sem correção),-0.10215,0.00343,0.0,-9.71,—,—,Estimativa convencional — não corrige seleção
Heckman (com IMR),-0.077,0.00513,0.0,-7.41,-1.98524,0.0,Corrigido por seleção — λ significativo (viés confirmado)
Δ (Heckman − OLS),0.02515,—,—,2.3,—,—,Δ > 0 → OLS superestima o gap: negros empregados aceitam salários mais baixos (seleção por tolerância à discriminação salarial) → OLS confunde discriminação com mecanismo de seleção no acesso ao emprego
