"rotulo","desfecho","OR_negro","b_negro","tau2_intercepto","tau2_negro","sd_negro","cov_int_neg","rho","LR","p_boundary","OR_base","N","n_UF"
"ocp_qualif","ocp_qualif",0.707144372785531,-0.346520429143937,0.0439658450694456,0.0113194655615716,0.106392977031248,0.0144740317818992,0.648811961706514,2405.94877470937,0,0.675647981097534,7694198,27
"y_top20","y_top20",0.695781930387572,-0.362718986150846,0.0133915618500279,0.00307657946903138,0.0554669222963685,-0.00329798778702957,-0.51380622133694,325.931959524751,8.75931454592535e-72,0.698598846205596,7694198,27
"y_top10","y_top10",0.661904600777144,-0.41263384101702,0.0158142913399678,0.00752885784610891,0.0867689912705507,-0.000102463471668441,-0.00939030395693861,504.602403925266,1.38381838953006e-110,0.648441465153022,7694198,27
"ocp_qualif_PRIVADO","ocp_qualif",0.697492937887758,-0.360262890229977,0.0509318900253446,0.0108503973571634,0.104165240637957,0.0157629165222901,0.670530995121904,1913.8830527924,0,0.667433867884816,6601022,27
"ocp_qualif_PUBLICO","ocp_qualif",0.705331343783816,-0.349087595398413,0.0524337776789409,0.0114980487712392,0.107228954910692,0.0111591563996919,0.454478891536711,332.988350084517,2.57039735130781e-73,0.692261545365736,1093176,27
