metodo,ATT,SE,CI_low,CI_high,gap_pct,n_obs,n_pares
OLS (naive),-0.21702117214420888,0.009424021983818814,-0.23549225523249376,-0.198550089055924,-19.50870726079792,7689426.0,
PSM,-0.04891042316939043,0.0006015064778229691,-0.050100439616578216,-0.0478262295605633,-4.773357311346171,,4431417.0
Double ML,-0.10410730090867999,0.008189188042588199,-0.12015810947215286,-0.08805649234520713,-9.887139968419746,50000.0,
