ano,t,delta,se,pval,ci95_lo,ci95_hi,referencia
2016,-3,0.02405104750159715,0.0076972726212209686,0.0017803523977921072,0.008964393164004054,0.03913770183919025,False
2017,-2,0.017939207792975007,0.00756297844050144,0.017693211817186062,0.003115770049592185,0.032762645536357826,False
2018,-1,0.00842948111682804,0.00643946699755006,0.19052284050657609,-0.004191874198370079,0.021050836432026158,False
2019,0,0.0,0.0,,0.0,0.0,True
2020,1,0.014970464076695528,0.006546831023649071,0.02221489591862967,0.0021386752703433497,0.027802252883047704,False
2021,2,0.0005933894021170831,0.01034997805349222,0.9542803866666396,-0.01969256758272767,0.020879346386961834,False
2022,3,0.0038501767888165376,0.010512610128882613,0.7141832674808117,-0.016754539063793386,0.02445489264142646,False
2023,4,0.004896466258489731,0.007484285669097765,0.5129617390257301,-0.00977273365294189,0.01956566616992135,False
2024,5,0.004162652180191748,0.007664766037741751,0.5870683411211027,-0.010860289253782083,0.01918559361416558,False
2025,6,0.01140248877663884,0.009661554762094276,0.23792389556464155,-0.007534158557065939,0.03033913611034362,False
