Grupo,N,N_UPAs,τ²_UPA,σ²_residual,ICC_UPA,R²m (M0),R²c (M0)
Brancos,793346,20739,0.10689,0.49291,0.1782,0.1176,0.2748
Negros,1493795,27905,0.10951,0.50441,0.1784,0.1385,0.2922
